"id","businessKey","version","processingReason","sourceFile","originalLineNumber","applicationNo","readerId","readerName","isbn","bookTitle","applicantLibrary","lendingLibrary","applicationDate","status","expectedReturnDate","actualReturnDate"
"9faff20b-b804-40b1-a491-ebe363d757ec","b724947aedc9275595442b530e37075e",1,"normal","borrow_applications.json",50,"BORROW-010049","READER-1736","Lori Roob DDS","978-1-84343-710-9","tergeo comptus adfectus ago vicinus","复旦大学图书馆","南京图书馆",1772380065348,"approved",1774972065348,1774633021737
"5b80096d-72a9-4d77-bfbc-9741e9f52454","7fd13111f27a2ed34f193d01499c5ac3",3,"duplicate_record","borrow_applications.json",49,"BORROW-010048","READER-4089","Willis Will","978-1-68185-720-6","absorbeo ex distinctio aliqua doloremque","清华大学图书馆","南京图书馆",1774860433091,"pending",1777452433091,
"8dfadca2-91aa-4b5d-8638-3d6c088013a8","41cffb293c773f5e72e3f7c27f98db9d",1,"normal","borrow_applications.json",48,"BORROW-010047","READER-3405","Jeannie Kub","978-1-4342-6467-1","calcar virgo depulso incidunt aeneus","北京大学图书馆","国家图书馆",1775109904113,"lent",1777701904113,1778161548762
"32a2e333-817a-4328-a5aa-f9027dfffc30","2439409970cc03394e8a54252e59b744",1,"normal","borrow_applications.json",47,"BORROW-010046","READER-6372","Mrs. Georgia Johns Sr.","978-1-02-421642-4","theologus calamitas cunctatio odio abstergo","北京大学图书馆","国家图书馆",1778354004383,"rejected",1780946004383,1780915143822
"51cf936e-3c91-44f2-b66c-9d78440ce042","c927e1a1e7682d8ec02f812c8da5af72",3,"duplicate_record","borrow_applications.json",46,"BORROW-010045","READER-3213","Camille Deckow-Aufderhar","978-1-85489-318-5","adhaero curiositas vivo toties suus","北京大学图书馆","上海图书馆",1778271449217,"rejected",1780863449217,
"211c189d-77c0-446c-b091-a21add0d0f47","f2ee11d3ac873afd55f4d5dffd3d76bc",1,"normal","borrow_applications.json",45,"BORROW-010044","READER-2380","Miss Natalie Hodkiewicz","978-0-238-57269-2","culpo utrimque amitto contego a","清华大学图书馆","上海图书馆",1772843977647,"approved",1775435977647,1775142431922
"864c9046-e557-4396-bb7c-4a1fe7609eed","b94742d46f5a6a4bff9547ea9dac4d26",3,"duplicate_record","borrow_applications.json",44,"BORROW-010043","READER-2043","Carolyn Johnson","978-0-933831-70-4","aegre beneficium denuncio aer utilis","清华大学图书馆","南京图书馆",1773553606682,"pending",1776145606682,
"a767ee86-db1a-4907-b898-cb390aa0fd08","6ebc3960c9370713b4643d9f93cc6d50",3,"duplicate_record","borrow_applications.json",43,"BORROW-010042","READER-5436","Chester Collins","978-1-0910-6692-2","tamisium at suppellex nesciunt cum","复旦大学图书馆","上海图书馆",1776902176065,"pending",1779494176065,
"af238953-d72e-4567-8ced-d6e53963bb31","21276fe3d9e95a01115d2e9687ddb2f6",1,"normal","borrow_applications.json",42,"BORROW-010041","READER-5994","Raymond Carter PhD","978-0-383-32832-8","tabgo cavus volup adversus pel","复旦大学图书馆","上海图书馆",1777981558683,"approved",1780573558683,1780893472720
"671c08fa-fc40-4a70-b6d7-9fb6cd929a52","20bd987d46fda01aadfd37ab36a37c34",1,"normal","borrow_applications.json",41,"BORROW-010040","READER-5997","Archie Robel","978-0-17-565058-3","desino reprehenderit sed umerus cena","北京大学图书馆","南京图书馆",1776470663100,"pending",1779062663100,1779739436503
"c7df7a6f-fef5-49ce-9600-4db406c5e86c","4d130d8fe590e7a74e479063f9b7eeb1",3,"duplicate_record","borrow_applications.json",40,"BORROW-010039","READER-9913","Pauline Parker I","978-1-82731-625-3","tersus talio curis conculco amor","北京大学图书馆","南京图书馆",1774927914332,"approved",1777519914332,
"95e2e5b5-ec22-4793-9b16-585d86bc5ccb","c5eb2c1c76b072d59acadc8bc992d30f",1,"normal","borrow_applications.json",39,"BORROW-010038","READER-1297","June Stiedemann","978-0-664-24969-4","utpote maxime magni coepi cohaero","清华大学图书馆","南京图书馆",1774449604239,"pending",1777041604239,1777264198463
"3f730db3-70ee-4f96-a78b-2fc97159cafb","d42f86ce1980a1354b156d3f3adc3389",1,"normal","borrow_applications.json",38,"BORROW-010037","READER-7234","Nicolas Pfeffer","978-1-75617-358-3","a stillicidium teneo suppellex thema","复旦大学图书馆","国家图书馆",1775587555281,"rejected",1778179555281,1779260943777
"8989d138-b825-4b21-be84-8edf3bd34eec","d7f573cc0d511627e2b08d191063ec0e",3,"duplicate_record","borrow_applications.json",37,"BORROW-010036","READER-1010","Constance O'Conner DDS","978-1-83292-557-0","illo argumentum cunae utroque aiunt","北京大学图书馆","南京图书馆",1773401328736,"approved",1775993328736,
"609b8235-74e3-4c6c-ac2f-a80473e0259b","10bca2fbc201dbc1d2d9bc113f07c91a",1,"normal","borrow_applications.json",36,"BORROW-010035","READER-9808","Percy Schneider I","978-0-7862-1918-6","theologus deputo delicate fugit capto","清华大学图书馆","国家图书馆",1779246539587,"rejected",1781838539587,1782239205496
"236d59f3-b4c7-4768-8df3-ff955c11c564","54cfd642089048f13504794d4a795740",1,"normal","borrow_applications.json",35,"BORROW-010034","READER-2577","Kristi Thompson-Collier","978-0-9876254-3-4","solus sonitus crudelis tenuis creator","清华大学图书馆","国家图书馆",1778533758359,"rejected",1781125758359,1781424424187
"9265fbd6-d2eb-404f-8935-5b909707d7ff","dfefee9f5bf867533448eb7c4a90753d",3,"duplicate_record","borrow_applications.json",34,"BORROW-010033","READER-4734","Cornelius Jacobs","978-0-88190-439-0","molestias cura debeo corrigo eum","复旦大学图书馆","国家图书馆",1776114820878,"rejected",1778706820878,
"12e05e01-eae3-4557-bd21-ed9fc5ea3506","d5a6ff543924cfd84eacae961e9c178c",1,"normal","borrow_applications.json",33,"BORROW-010032","READER-3880","Ramona Dibbert","978-0-671-41239-5","suffoco solum compono vigor cultellus","复旦大学图书馆","国家图书馆",1772965293470,"returned",1775557293470,1776196937656
"ceebb559-bc57-4c37-a2cd-b80031fefa6d","a8866e96d01d466b53868645158248ad",1,"normal","borrow_applications.json",32,"BORROW-010031","READER-8965","Malcolm Lueilwitz","978-1-103-39823-2","cognomen crur utrimque templum videlicet","清华大学图书馆","国家图书馆",1772029177599,"returned",1774621177599,1774673851275
"1c4e36ec-ed3a-4faa-87b4-5e25d85f7d90","3865f859e07d048fb98cbe963f6b41c3",3,"duplicate_record","borrow_applications.json",31,"BORROW-010030","READER-6996","Forrest Mayert","978-1-155-21765-9","ipsum pel celer tres curvo","复旦大学图书馆","上海图书馆",1778598486301,"lent",1781190486301,
"ac1be5b0-2c9f-4a4f-b0e2-cd5aa88c8128","fc615ea2dc31f83ea84ea1fd7591397f",3,"duplicate_record","borrow_applications.json",30,"BORROW-010029","READER-2679","Carlton Johnston","978-0-12-788051-8","vita appono demoror caveo celo","复旦大学图书馆","上海图书馆",1779323891441,"lent",1781915891441,
"edfa3999-d241-4ad9-9445-269633e7cc7a","9beb00d0e7b23de3ba4bd66cbf8f0ab2",1,"normal","borrow_applications.json",29,"BORROW-010028","READER-7568","Laura Grimes","978-0-696-53648-9","tamisium demoror terreo careo decimus","复旦大学图书馆","上海图书馆",1778899908454,"approved",1781491908454,1781439103158
"04d0fc12-b9b7-47fe-98ca-f69fc123f5b3","ac57e3dcca200a846656c396d99c59e0",1,"normal","borrow_applications.json",28,"BORROW-010027","READER-1870","Laurie King","978-1-913716-75-2","appositus quis aut exercitationem tribuo","复旦大学图书馆","国家图书馆",1773361847427,"returned",1775953847427,1776737000677
"e73f4f88-a051-4c79-a233-2f998096e9c5","2e0fecb84e77e64912e5abe636d6638d",1,"normal","borrow_applications.json",27,"BORROW-010026","READER-2053","Gladys Medhurst","978-1-127-12880-8","admoveo subvenio antea advenio accommodo","复旦大学图书馆","上海图书馆",1775300435627,"pending",1777892435627,1777980963833
"0852b6e7-c323-4611-8b41-ea1d9c7200be","52ec83f4d5b1c69a8cd0dfb3828389f3",1,"normal","borrow_applications.json",26,"BORROW-010025","READER-7880","Joanna Morissette","978-1-4278-7931-8","utpote civitas tantillus terminatio victus","清华大学图书馆","上海图书馆",1777739654334,"pending",1780331654334,1780418857532
"b4bc1ce3-a706-4b3b-8bce-c2ef23963fef","bd4b3e747873017fc40b1845ce7159f0",1,"normal","borrow_applications.json",25,"BORROW-010024","READER-4357","Lee McCullough","978-1-76210-185-3","degusto decretum quia a canonicus","复旦大学图书馆","国家图书馆",1772184582842,"pending",1774776582842,1775452916457
"3fb8a2bd-a0d0-4cfc-90e6-645fa63cd9cd","7014f43253ac9421dcadc8154c03f4e5",1,"normal","borrow_applications.json",24,"BORROW-010023","READER-2709","Robin Heller","978-1-5452-5824-8","viriliter veniam dedico casso uter","清华大学图书馆","国家图书馆",1775069948698,"rejected",1777661948698,1778682327273
