"orderNo","customerName","phone","address","applianceType","appointmentDate","appointmentTime","technicianId","technicianName","status","rawRow","sourceFile","id","source"
"ORD001","张三","13800138001","北京市朝阳区XX小区1号楼101","空调","2024-01-15","09:00-12:00","T001","李师傅","待上门",2,"预约单_正常.csv","6ff33fae-b92e-415d-9ac9-b469e9d3bb1d","appointment"
"ORD002","李四","13800138002","北京市海淀区XX小区2号楼202","洗衣机","2024-01-15","14:00-17:00","T002","王师傅","待上门",3,"预约单_正常.csv","bfc0a4fa-43bc-4013-87cf-276258724f43","appointment"
"ORD003","王五","13800138003","北京市西城区XX小区3号楼303","冰箱","2024-01-16","09:00-12:00","T001","李师傅","待上门",4,"预约单_正常.csv","3e5ea0cc-83e8-4674-a5ef-10032b119dec","appointment"
"ORD004","赵六","13800138004","北京市东城区XX小区4号楼404","热水器","2024-01-16","14:00-17:00","T003","张师傅","待上门",5,"预约单_正常.csv","2137232d-dec5-47a9-8e10-222f7b731a7e","appointment"
"ORD005","孙七","13800138005","北京市丰台区XX小区5号楼505","电视","2024-01-17","09:00-12:00","T002","王师傅","待上门",6,"预约单_正常.csv","5d381b7d-6136-4341-9530-c3b6e8839d57","appointment"
"ORD006","周八","13800138006","北京市朝阳区XX小区6号楼606","空调","2024-01-18","09:00-12:00","T001","李师傅","待上门",2,"预约单_含脏数据.csv","f454f4d3-155c-4b90-96d5-54eeb13be439","appointment"
"ORD002","李四","13800138002","北京市海淀区XX小区2号楼202","洗衣机","2024-01-15","14:00-17:00","T002","王师傅","待上门",10,"预约单_含脏数据.csv","ca808d86-365f-4c50-9d7c-56153549cab9","appointment"
"ORD013","多台家电","13800138013","北京市朝阳区XX小区13号楼1301","空调","2024-01-21","09:00-12:00","T001","李师傅","待上门",11,"预约单_含脏数据.csv","d1b146bd-69fa-44c7-acfc-1c44b5d813a0","appointment"
"ORD013","多台家电","13800138013","北京市朝阳区XX小区13号楼1301","洗衣机","2024-01-21","14:00-17:00","T002","王师傅","待上门",12,"预约单_含脏数据.csv","ea60cc73-20f6-4909-ad74-cc4a90931323","appointment"
"ORD014","改约测试","13800138014","北京市海淀区XX小区14号楼1401","冰箱","2024-01-23","09:00-12:00","T001","李师傅","已改约",14,"预约单_含脏数据.csv","3378e2ea-87b6-491c-9003-a576b0264680","appointment"
