"orderNo","customerName","phone","address","applianceType","appointmentDate","appointmentTime","technicianId","technicianName","status","rawRow","sourceFile","id","source"
"ORD001","张三","13800138001","北京市朝阳区XX小区1号楼101","空调","2024-01-15","09:00-12:00","T001","李师傅","待上门",2,"预约单_正常.csv","16851a50-85cb-4bc8-8cab-dc4d2ca25f2a","appointment"
"ORD002","李四","13800138002","北京市海淀区XX小区2号楼202","洗衣机","2024-01-15","14:00-17:00","T002","王师傅","待上门",3,"预约单_正常.csv","8a536618-8f7c-4893-bb4a-1565b52b9de2","appointment"
"ORD003","王五","13800138003","北京市西城区XX小区3号楼303","冰箱","2024-01-16","09:00-12:00","T001","李师傅","待上门",4,"预约单_正常.csv","d824663b-ed0f-4d95-9818-970c19900798","appointment"
"ORD004","赵六","13800138004","北京市东城区XX小区4号楼404","热水器","2024-01-16","14:00-17:00","T003","张师傅","待上门",5,"预约单_正常.csv","8d6e6624-b388-4e20-8fe5-5fe31c9191e1","appointment"
"ORD005","孙七","13800138005","北京市丰台区XX小区5号楼505","电视","2024-01-17","09:00-12:00","T002","王师傅","待上门",6,"预约单_正常.csv","45d3eac8-f560-4534-ab79-7c4ffcffaf05","appointment"
"ORD006","周八","13800138006","北京市朝阳区XX小区6号楼606","空调","2024-01-18","09:00-12:00","T001","李师傅","待上门",2,"预约单_含脏数据.csv","943295f3-09a2-4fcc-86df-651a7e45293d","appointment"
"ORD007","","13800138007","北京市海淀区XX小区7号楼707","洗衣机","2024-01-18","14:00-17:00","T002","王师傅","待上门",3,"预约单_含脏数据.csv","a37ba80c-fd99-4072-bbcb-a5847a7b145f","appointment"
"ORD008","吴九","13800138","北京市西城区XX小区8号楼808","冰箱","2024-01-19","09:00-12:00","T001","李师傅","待上门",4,"预约单_含脏数据.csv","11ac2145-8c2b-485a-ba5d-4aaf83e9552a","appointment"
"ORD009","郑十","13800138009","","热水器","2024-01-19","14:00-17:00","T003","张师傅","待上门",5,"预约单_含脏数据.csv","88e38f10-ce09-4d98-afea-3017c53fb0d3","appointment"
"ORD010","钱十一","13800138010","北京市丰台区XX小区10号楼1010","","2024-01-20","09:00-12:00","T002","王师傅","待上门",6,"预约单_含脏数据.csv","312757ce-cbb2-4639-a42f-b84d84b5bdc1","appointment"
"ORD011","孙十二","13800138011","北京市朝阳区XX小区11号楼1111","电视","2024-01-20","","T001","李师傅","待上门",7,"预约单_含脏数据.csv","c2f50cc5-df2e-4979-9cca-5b3959a5f111","appointment"
"ORD012","周十三","13800138012","北京市海淀区XX小区12号楼1212","空调","","14:00-17:00","T002","王师傅","待上门",8,"预约单_含脏数据.csv","2cc46937-708f-4f69-aba4-a81e3f993a8c","appointment"
"ORD002","李四","13800138002","北京市海淀区XX小区2号楼202","洗衣机","2024-01-15","14:00-17:00","T002","王师傅","待上门",10,"预约单_含脏数据.csv","da12c0e7-ac4b-4a3f-a90a-738f210ef895","appointment"
"ORD013","多台家电","13800138013","北京市朝阳区XX小区13号楼1301","空调","2024-01-21","09:00-12:00","T001","李师傅","待上门",11,"预约单_含脏数据.csv","23aebec3-59cd-4cfa-9d72-fa0438322a92","appointment"
"ORD013","多台家电","13800138013","北京市朝阳区XX小区13号楼1301","洗衣机","2024-01-21","14:00-17:00","T002","王师傅","待上门",12,"预约单_含脏数据.csv","ce978380-5b5f-4815-a763-860f16432810","appointment"
"ORD014","改约测试","13800138014","北京市海淀区XX小区14号楼1401","冰箱","2024-01-23","09:00-12:00","T001","李师傅","已改约",14,"预约单_含脏数据.csv","c8d6d6b4-e80b-4503-9217-e2f62e741d57","appointment"
