设备编号,循环序号,采样时间,出水温度(℃),回水温度(℃),功耗(kW),流量(m³/h),备注
HP-A01,1,2024-06-10 08:00:00,45.2,40.1,28.5,8.3,正常巡检
HP-A01,2,2024-06-10 08:15:00,46.0,40.5,29.1,8.4,正常巡检
HP-A01,3,2024-06-10 08:30:00,47.3,40.8,30.2,8.5,正常巡检
HP-A01,4,2024-06-10 09:00:00,48.1,41.0,31.0,8.4,
HP-A01,5,2024-06-10 09:15:00,44.5,40.2,27.8,8.2,
HP-A01,6,2024-06-10 09:30:00,49.0,41.5,32.5,8.6,
HP-A01,7,2024-06-10 09:45:00,52.0,43.0,35.0,8.7,边界样本-接近上限
HP-A02,1,2024-06-10 08:00:00,44.0,39.0,26.0,8.0,
HP-A02,2,2024-06-10 08:15:00,34.5,33.0,20.0,7.8,边界样本-低温
HP-A02,3,2024-06-10 08:30:00,45.0,39.5,27.5,8.1,
HP-A02,4,2024-06-10 09:30:00,46.2,40.0,28.0,8.2,采样缺口-前一条1小时前
HP-A02,5,2024-06-10 09:45:00,,40.0,28.0,8.2,坏数据-出水温度缺失
HP-A02,6,2024-06-10 10:00:00,46.5,30.0,28.5,8.3,坏数据-进出水温颠倒
HP-B03,1,2024-06-10 08:00:00,50.0,44.0,42.0,11.5,
HP-B03,2,2024-06-10 08:15:00,51.2,44.5,43.5,11.8,
HP-B03,3,2024-06-10 08:30:00,58.0,46.0,48.0,12.0,边界样本-超温
HP-B03,4,2024-06-10 08:45:00,52.5,45.2,44.0,11.7,
HP-B03,5,2024-06-10 09:00:00,-5.0,45.0,44.5,11.6,坏数据-温度为负
HP-B03,6,2024-06-10 09:15:00,53.0,45.5,45.0,11.8,
HP-C05,1,2024-06-10 09:00:00,47.0,42.0,30.0,9.0,无铭牌设备
