id,fact_id,original_line_number,location,road_section,pole_number,issue_type,description,severity,photo_path,hotline_caller,hotline_phone,hotline_time,spare_part_batch,spare_part_name,spare_part_quantity,approval_email_subject,approval_email_from,approval_status,check_status,check_error,check_error_type,created_at,updated_at
1,67cc979764c0392f,1,朝阳路_002,朝阳路,002,lighting_failure,巡检照片: 朝阳路_002_灯杆,high,sample_data/photos/朝阳路_002_灯杆.jpg,,,,,,,,,,passed,,,2026-05-24 22:56:13,2026-05-24 22:56:47
2,c3ca88d760713292,2,朝阳路_001,朝阳路,001,lighting_failure,巡检照片: 朝阳路_001_灯杆,high,sample_data/photos/朝阳路_001_灯杆.jpg,,,,,,,,,,passed,,,2026-05-24 22:56:13,2026-05-24 22:56:47
3,9125281c1fcce59e,3,建设大道_005,建设大道,005,lighting_failure,巡检照片: 建设大道_005_灯杆,high,sample_data/photos/建设大道_005_灯杆.jpg,,,,,,,,,,passed,,,2026-05-24 22:56:13,2026-05-24 22:56:47
4,23c5027c0f858620,1,朝阳路_001,朝阳路,1,lighting_failure,还是不亮,high,,刘女士,13800138005,2024-01-15 14:00:00,,,,,,,passed,,,2026-05-24 22:56:13,2026-05-24 22:56:47
5,54ef314006346078,2,朝阳路_002,朝阳路,2,lighting_flicker,路灯闪烁,normal,,李女士,13800138002,2024-01-15 09:15:00,,,,,,,passed,,,2026-05-24 22:56:13,2026-05-24 22:56:47
6,918265dd931bc693,3,建设大道_005,建设大道,5,lighting_failure,整排路灯不亮,critical,,王大爷,13800138003,2024-01-15 10:00:00,,,,,,,passed,,,2026-05-24 22:56:13,2026-05-24 22:56:47
7,04472f2a73cd902e,4,和平街_003,和平街,3,fixture_damage,灯罩损坏,low,,陈先生,13800138004,2024-01-15 11:30:00,,,,,,,passed,,,2026-05-24 22:56:13,2026-05-24 22:56:47
8,6cd9832a1f5ec25e,1,朝阳路_001,朝阳路,1,replacement,,normal,,,,,BATCH2024001,LED灯泡,2.0,,,,passed,,,2026-05-24 22:56:31,2026-05-24 22:56:47
9,4e88c7ebf075b9a0,2,建设大道_005,建设大道,5,replacement,,normal,,,,,BATCH2024001,LED灯泡,4.0,,,,passed,,,2026-05-24 22:56:31,2026-05-24 22:56:47
10,58c3e829ba777234,3,和平街_003,和平街,3,replacement,,normal,,,,,BATCH2024002,灯罩,1.0,,,,passed,,,2026-05-24 22:56:31,2026-05-24 22:56:47
11,f613df0fbe213b25,1,建设大道_005,建设大道,5,lighting_failure,,normal,,,,,,,,紧急维修审批,manager@city.gov,approved,passed,,,2026-05-24 22:56:33,2026-05-24 22:56:47
12,e1a97afc1d9849e9,2,朝阳路_002,朝阳路,2,lighting_flicker,,normal,,,,,,,,常规维修审批,supervisor@city.gov,pending,passed,,,2026-05-24 22:56:33,2026-05-24 22:56:47
13,c48536968ccd62ed,1,nan,人民路,8,lighting_failure,缺少故障地点测试,high,,赵师傅,13800138006,2024-01-15 15:00:00,,,,,,,passed,,,2026-05-24 22:56:33,2026-05-24 22:56:47
14,b0529dfabdb3aef8,2,解放大道_001,解放大道,1,nan,缺少故障类型测试,normal,,孙女士,13800138007,2024-01-15 16:00:00,,,,,,,passed,,,2026-05-24 22:56:33,2026-05-24 22:56:47
15,ebbf0b15d8301464,3,胜利街_002,胜利街,2,lighting_failure,无效严重级别测试,high,,周先生,13800138008,2024-01-15 17:00:00,,,,,,,passed,,,2026-05-24 22:56:33,2026-05-24 22:57:20
